# Copyright (c) 1998,1999,2001,2002,2003 Kevin Cameron
# Distributed under the GNU Lesser General Public License
# RCS ID: $Id: usrerrs.dat,v 1.26 2010/05/01 09:53:43 dkc Exp $

INTERNAL  "Internal (please report)"
AMBG_ARGS "Ambiguous Arguments"
EXTR_ARGS "Extraneous Arguments"
MSSNG_ARG "Argument Missing"
BAD_ARG   "Bad Argument"
TODO      "Unprocesse Argument"
NIY       "Not Implemented"
POOL_RO   "Attempted write to a read-only pool"
SYNTAX    "Syntax"
ELAB      "Elaboration"
SEMANTIC  "Semantic"
ALREADY   "Already Done"
TOO_MANY  "Too Many Errors"
ARITH     "Arithmetic"
UNTERM    "Unterminated Expression"
NOTCOMM   "No Such Command"
NOTSCOPE  "No Such Scope"
OUTOFDATE "Out Of Date"
TRUNC     "Premature end of file"
UNDERRUN  "Buffer too small"
EMPTY     "Empty File"
OWNER     "Not Owner"
UNMATCH   "Unmatched instance"
CODEGEN   "Code generation"
COMPILE   "Compilation"
DLERROR   "Dynamic loader"
DLNOSYM   "Routine not found"
NREADY    "Not Ready"
INTERRUPT "Interrupted"
ENVMSSG   "Missing environment variable(s)"
NOSUCH	  "Item not found"
# Last
UNKNOWN   "Unknown Error"
